term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
2007,106,Kennedy,KEN,0.317,0.22,0.313,-0.103,0.764
2008,106,Kennedy,KEN,0.565,0.209,0.563,0.159,0.987
2009,106,Kennedy,KEN,0.572,0.222,0.566,0.152,1.027
2010,106,Kennedy,KEN,0.679,0.218,0.673,0.269,1.12
2011,106,Kennedy,KEN,0.436,0.221,0.435,0.014,0.882
2012,106,Kennedy,KEN,0.467,0.229,0.464,0.03,0.937
2013,106,Kennedy,KEN,0.465,0.3,0.46,-0.114,1.069
1967,98,Marshall,MAR,-0.961,0.278,-0.953,-1.528,-0.44
1968,98,Marshall,MAR,-0.971,0.241,-0.965,-1.465,-0.519
1969,98,Marshall,MAR,-0.903,0.23,-0.897,-1.364,-0.468
1970,98,Marshall,MAR,-0.933,0.206,-0.93,-1.356,-0.552
1971,98,Marshall,MAR,-1.029,0.199,-1.023,-1.436,-0.658
1972,98,Marshall,MAR,-1.323,0.211,-1.317,-1.755,-0.927
1973,98,Marshall,MAR,-1.478,0.227,-1.472,-1.942,-1.049
1974,98,Marshall,MAR,-1.534,0.256,-1.526,-2.053,-1.047
1975,98,Marshall,MAR,-2.113,0.276,-2.109,-2.678,-1.593
1976,98,Marshall,MAR,-2.426,0.311,-2.414,-3.067,-1.848
1977,98,Marshall,MAR,-2.724,0.351,-2.716,-3.442,-2.062
1978,98,Marshall,MAR,-3.11,0.371,-3.103,-3.865,-2.407
1979,98,Marshall,MAR,-3.381,0.396,-3.377,-4.188,-2.641
1980,98,Marshall,MAR,-3.564,0.418,-3.554,-4.428,-2.777
1981,98,Marshall,MAR,-3.695,0.438,-3.683,-4.583,-2.88
1982,98,Marshall,MAR,-3.871,0.445,-3.86,-4.768,-3.045
1983,98,Marshall,MAR,-3.927,0.466,-3.917,-4.862,-3.048
1984,98,Marshall,MAR,-3.998,0.48,-3.981,-4.978,-3.11
1985,98,Marshall,MAR,-4.079,0.496,-4.064,-5.098,-3.157
1986,98,Marshall,MAR,-4.26,0.505,-4.242,-5.306,-3.341
1987,98,Marshall,MAR,-4.415,0.523,-4.398,-5.507,-3.453
1988,98,Marshall,MAR,-4.485,0.557,-4.463,-5.647,-3.465
1989,98,Marshall,MAR,-4.456,0.603,-4.43,-5.724,-3.346
1990,98,Marshall,MAR,-4.304,0.696,-4.277,-5.741,-3.022
1937,67,McReynolds,MCR,2.894,0.446,2.872,2.083,3.834
1938,67,McReynolds,MCR,2.909,0.446,2.883,2.114,3.869
1939,67,McReynolds,MCR,2.675,0.492,2.638,1.823,3.743
1940,67,McReynolds,MCR,2.176,0.604,2.126,1.156,3.478
1949,89,Minton,MINT,1.165,0.313,1.149,0.586,1.812
1950,89,Minton,MINT,1.315,0.276,1.305,0.802,1.886
1951,89,Minton,MINT,1.372,0.257,1.364,0.891,1.9
1952,89,Minton,MINT,1.193,0.231,1.186,0.753,1.667
1953,89,Minton,MINT,0.853,0.232,0.845,0.416,1.337
1954,89,Minton,MINT,0.876,0.237,0.868,0.431,1.375
